date,Close
20080227  12:00:00,138.38
20080227  12:30:00,137.79
20080227  13:00:00,138.3
20080227  13:30:00,138.52
20080228  08:00:00,137.45
20080228  08:30:00,137.69
20080228  09:00:00,137.42
20080228  09:30:00,136.73
20080228  10:00:00,136.89
20080228  10:30:00,136.95
20080228  11:00:00,136.8
20080228  11:30:00,136.87
20080228  12:00:00,136.9
20080228  12:30:00,137.42
20080228  13:00:00,137.66
20080228  13:30:00,136.99
20080229  08:00:00,135.02
20080229  08:00:00,135.02
20080229  08:00:00,135.02
20080229  08:30:00,134.46
20080229  08:30:00,134.46
20080229  08:30:00,134.46
20080229  09:00:00,134.5
20080229  09:00:00,134.5
20080229  09:00:00,134.5
20080229  09:30:00,134.68
20080229  09:30:00,134.68
20080229  09:30:00,134.68
20080229  10:00:00,134.76
20080229  10:00:00,134.76
20080229  10:00:00,134.76
20080229  10:30:00,134.76
20080229  10:30:00,134.76
20080229  10:30:00,134.76
20080229  11:00:00,134.6
20080229  11:00:00,134.6
20080229  11:00:00,134.6
20080229  11:30:00,134.5
20080229  11:30:00,134.5
20080229  11:30:00,134.5
20080229  12:00:00,133.79
20080229  12:00:00,133.79
20080229  12:00:00,133.79
20080229  12:30:00,133.73
20080229  12:30:00,133.73
20080229  12:30:00,133.73
20080229  13:00:00,133.61
20080229  13:00:00,133.61
20080229  13:00:00,133.61
20080229  13:30:00,133.57
20080229  13:30:00,133.57
20080229  13:30:00,133.57
20080303  08:00:00,132.74
20080303  08:30:00,133.43
20080303  09:00:00,132.92
20080303  09:30:00,133.2
20080303  10:00:00,133.52
20080303  10:30:00,133.75
20080303  11:00:00,133.29
20080303  11:30:00,133.29
20080303  12:00:00,133
20080303  12:30:00,132.91
20080303  13:00:00,132.4
20080303  13:30:00,133.01
20080304  08:00:00,132.78
20080304  08:30:00,132.42
20080304  09:00:00,131.65
20080304  09:30:00,131.87
20080304  10:00:00,131.54
20080304  10:30:00,131.95
20080304  11:00:00,131.6
20080304  11:30:00,131.88
20080304  12:00:00,131.24
20080304  12:30:00,131.35
20080304  13:00:00,131.65
20080304  13:30:00,132.51
20080305  08:00:00,134.25
20080305  08:30:00,134.11
20080305  09:00:00,133.94
20080305  09:30:00,134.09
20080305  10:00:00,134.07
20080305  10:30:00,133.87
20080305  11:00:00,133.91
20080305  11:30:00,133.06
20080305  12:00:00,132.68
20080305  12:30:00,133.06
20080305  13:00:00,133.18
20080305  13:30:00,133.25
20080306  08:00:00,132.22
20080306  08:30:00,132.49
20080306  09:00:00,132.49
20080306  09:30:00,132.22
20080306  10:00:00,132.05
20080306  10:30:00,131.76
20080306  11:00:00,131.87
20080306  11:30:00,131.57
20080306  12:00:00,131.97
20080306  12:30:00,131.53
20080306  13:00:00,131.78
20080306  13:30:00,131.6
20080307  08:00:00,131
20080307  08:00:00,131
20080307  08:00:00,131
20080307  08:30:00,130.96
20080307  08:30:00,130.96
20080307  08:30:00,130.96
20080307  09:00:00,130.93
20080307  09:00:00,130.93
20080307  09:00:00,130.93
20080307  09:30:00,130.44
20080307  09:30:00,130.44
20080307  09:30:00,130.44
20080307  10:00:00,130.16
20080307  10:00:00,130.16
20080307  10:00:00,130.16
20080307  10:30:00,129.97
20080307  10:30:00,129.97
20080307  10:30:00,129.97
20080307  11:00:00,130.06
20080307  11:00:00,130.06
20080307  11:00:00,130.06
20080307  11:30:00,129.8
20080307  11:30:00,129.8
20080307  11:30:00,129.8
20080307  12:00:00,129.18
20080307  12:00:00,129.18
20080307  12:00:00,129.18
20080307  12:30:00,128.93
20080307  12:30:00,128.93
20080307  12:30:00,128.93
20080307  13:00:00,129.71
20080307  13:00:00,129.71
20080307  13:00:00,129.71
20080307  13:30:00,129.96
20080307  13:30:00,129.96
20080307  13:30:00,129.96
20080310  08:00:00,129.8
20080310  08:30:00,129.42
20080310  09:00:00,129.48
20080310  09:30:00,128.78
20080310  10:00:00,128.76
20080310  10:30:00,128.61
20080310  11:00:00,129.08
20080310  11:30:00,128.61
20080310  12:00:00,128.4
20080310  12:30:00,128.02
20080310  13:00:00,127.87
20080310  13:30:00,128.06
20080311  08:00:00,130.12
20080311  08:30:00,130.32
20080311  09:00:00,130.35
20080311  09:30:00,129.95
20080311  10:00:00,129.3
20080311  10:30:00,129.51
20080311  11:00:00,129.57
20080311  11:30:00,130.08
20080311  12:00:00,130.28
20080311  12:30:00,130.38
20080311  13:00:00,131.25
20080311  13:30:00,131.43
20080312  08:00:00,132.42
20080312  08:30:00,132.37
20080312  09:00:00,133.01
20080312  09:30:00,133.46
20080312  10:00:00,132.96
20080312  10:30:00,132.85
20080312  11:00:00,132.75
20080312  11:30:00,132.68
20080312  12:00:00,132.23
20080312  12:30:00,132.16
20080312  13:00:00,132.18
20080312  13:30:00,131.79
20080313  08:00:00,128.98
20080313  08:30:00,129.15
20080313  09:00:00,129.07
20080313  09:30:00,130.23
20080313  10:00:00,130.75
20080313  10:30:00,130.58
20080313  11:00:00,130.41
20080313  11:30:00,131.8
20080313  12:00:00,132.24
20080313  12:30:00,132.29
20080313  13:00:00,132.33
20080313  13:30:00,132.53
20080314  08:00:00,128.43
20080314  08:00:00,128.43
20080314  08:00:00,128.43
20080314  08:30:00,130.17
20080314  08:30:00,130.17
20080314  08:30:00,130.17
20080314  09:00:00,130.03
20080314  09:00:00,130.03
20080314  09:00:00,130.03
20080314  09:30:00,129.3
20080314  09:30:00,129.3
20080314  09:30:00,129.3
20080314  10:00:00,129.72
20080314  10:00:00,129.72
20080314  10:00:00,129.72
20080314  10:30:00,129.74
20080314  10:30:00,129.74
20080314  10:30:00,129.74
20080314  11:00:00,129.38
20080314  11:00:00,129.38
20080314  11:00:00,129.38
20080314  11:30:00,128.89
20080314  11:30:00,128.89
20080314  11:30:00,128.89
20080314  12:00:00,128.8
20080314  12:00:00,128.8
20080314  12:00:00,128.8
20080314  12:30:00,128.1
20080314  12:30:00,128.1
20080314  12:30:00,128.1
20080314  13:00:00,128.5
20080314  13:00:00,128.5
20080314  13:00:00,128.5
20080314  13:30:00,129.71
20080314  13:30:00,129.71
20080314  13:30:00,129.71
20080317  08:00:00,127.54
20080317  08:30:00,128.3
20080317  09:00:00,128.44
20080317  09:30:00,127.68
20080317  10:00:00,126.82
20080317  10:30:00,126.39
20080317  11:00:00,127.2
20080317  11:30:00,126.45
20080317  12:00:00,127.11
20080317  12:30:00,127.12
20080317  13:00:00,127.82
20080317  13:30:00,128.58
20080318  08:00:00,130.87
20080318  08:30:00,130.75
20080318  09:00:00,131.23
20080318  09:30:00,131.52
20080318  10:00:00,131.41
20080318  10:30:00,131.54
20080318  11:00:00,131.71
20080318  11:30:00,132
20080318  12:00:00,131.92
20080318  12:30:00,130.78
20080318  13:00:00,132.31
20080318  13:30:00,132.4
20080319  08:00:00,133.87
20080319  08:30:00,133.54
20080319  09:00:00,133.39
20080319  09:30:00,134.06
20080319  10:00:00,133.69
20080319  10:30:00,133.21
20080319  11:00:00,132.87
20080319  11:30:00,132.48
20080319  12:00:00,132.09
20080319  12:30:00,131.74
20080319  13:00:00,131.89
20080319  13:30:00,131.31
20080320  08:00:00,130.5
20080320  08:00:00,130.5
20080320  08:00:00,130.5
20080320  08:00:00,130.5
20080320  08:30:00,130.57
20080320  08:30:00,130.57
20080320  08:30:00,130.57
20080320  08:30:00,130.57
20080320  09:00:00,131.15
20080320  09:00:00,131.15
20080320  09:00:00,131.15
20080320  09:00:00,131.15
20080320  09:30:00,131.32
